date,title,feed_type,link,description,image,publisher,stocks,_id
2019-02-09,Apollo Hospitals Q3 profit rises 28.89%,news-article,https://www.thehindu.com/business/apollo-hospitals-q3-profit-rises-2889/article26225457.ece,Apollo Hospitals Enterprise Ltd. has posted a 28.89% increase in its standalone net profit for the third quarter ended December 2018 to ₹86.93 crore against ₹67.44crore in the year-earlier period. Rev,https://www.thehindu.com/business/rgjgk9/article26225456.ece/ALTERNATES/LANDSCAPE_615/10THBUAPOLLO,"{'logo': 'https://www.smallcase.com/images/newslogos/TheHindu.png', 'name': 'The Hindu'}","[{'sid': 'APLH', 'initialPrice': 1295.85}]",['5c5f0eb398fa28526d977d46']
2019-02-23,Apollo Hospitals to open 330-bed super speciality hospital in Lucknow,news-article,https://www.thehindubusinessline.com/companies/apollo-hospitals-to-open-330-bed-super-speciality-hospital-in-lucknow/article26351975.ece,"Apollo Hospitals Enterprise Ltd said on Saturday it is opening a new 330-bed super speciality hospital in Lucknow, to be inaugurated Sunday. “The new hospital will be inaugurated by President Ram Nath",https://www.thehindubusinessline.com/news/byu991/article25670207.ece/ALTERNATES/LANDSCAPE_615/APOLLO-HOSPITALS,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1152.2}]",['5c7183393ecb183865e96257']
2019-04-11,"Shobana Kamineni, Executive Vice Chairperson of Apollo Hospitals Enterprise Ltd  and former CII President was in for a rude shock as she went to cast her vote in Hyderabad. She found her name deleted from the voters' list. ",news-article,https://www.businesstoday.in/current/economy-politics/this-top-apollo-hospital-executives-name-got-deleted-from-voters-list-and-she-is-furious/story/336236.html,"Shobana Kamineni, Executive Vice Chairperson of Apollo Hospitals Enterprise Ltd  and former CII President was in for a rude shock as she went to cast her vote in Hyderabad. She found her name deleted from the voters' list. ",https://pocket-image-cache.com/direct?url=http://smedia2.intoday.in/btmt/images/stories/doc-2_505_041119023236.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessToday.png', 'name': 'Business Today'}","[{'sid': 'APLH', 'initialPrice': 1246.25}]",['5caf3382fa813f16415da22a']
2019-06-19,"HDFC snaps up Apollo Munich for Rs 1347 cr, to merge with HDFC Ergo Health for Rs 1,347 cr",news-article,https://www.freepressjournal.in/business/hdfc-snaps-up-apollo-munich-for-rs-1347-cr-to-merge-with-hdfc-ergo-health-for-rs-1347-cr,Mortgage major HDFC Wednesday announced acquisition of majority stake in Apollo Munich Health Insurance from the Apollo Hospitals Group,https://pocket-image-cache.com/direct?url=http://images.assettype.com/freepressjournal%2Fimport%2F2015%2F12%2FApollo-Munich.jpg?rect=0%2C27%2C400%2C210&w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': None, 'name': None}","[{'sid': 'APLH', 'initialPrice': 1354.7}, {'sid': 'HDBK', 'initialPrice': 2417.25}, {'sid': 'HDFC', 'initialPrice': 2153}]",['5d0a71bdce5b004a8305cd41']
2019-06-20,"HDFC acquires 51.2% stakes in Apollo Muich Health Insurance Company | Stocks in the news: Sun Pharma, HDFC, Jet Airways, Apollo Hospitals and Adani Power",news-article | news-article,https://www.indiainfoline.com/article/news-top-story/hdfc-acquires-51-2-stakes-in-apollo-muich-health-insurance-company-119062000007_1.html | https://economictimes.indiatimes.com/markets/stocks/news/stocks-in-the-news-sun-pharma-hdfc-jet-airways-and-adani-power/articleshow/69867785.cms,HDFC will pay about Rs73.2 per share to Apollo Hospitals for the acquisition. | Deutsche Bank has maintained a 'buy' rating on ICICI Prudential Life Insurance Company.,https://pocket-image-cache.com/direct?url=http://content.indiainfoline.com/_media/iifl/img/article/2016-08/31/full/1472615225-974.jpg,"{'logo': None, 'name': None} | {'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'name': 'Economic Times'}","[{'sid': 'APLH', 'initialPrice': 1351.75}, {'sid': 'HDBK', 'initialPrice': 2428.35}, {'sid': 'HDFC', 'initialPrice': 2175.4}] | [{'sid': 'ADAN', 'initialPrice': 46.7}, {'sid': 'APLH', 'initialPrice': 1351.75}, {'sid': 'HDBK', 'initialPrice': 2428.35}, {'sid': 'HDFC', 'initialPrice': 2175.4}, {'sid': 'ICIR', 'initialPrice': 365.4}, {'sid': 'JET', 'initialPrice': 33.1}, {'sid': 'SUN', 'initialPrice': 375.2}]","['5d0b0c5c8ac11a62c2916a0e', '5d0b0c178ac11a62c29169a4']"
2019-06-21,Apollo Hospitals looks to raise up to $200 mn by selling stakes in more units,news-article,https://www.livemint.com/companies/news/apollo-hospitals-looks-to-raise-up-to-200-mn-by-selling-stakes-in-more-units-1561054371940.html,"Proceeds from the transactions will be used to reduce promoter debt.On Wednesday, HDFC, India’s largest mortgage financier, said it would buy Apollo Hospitals’ 50.8% stake in Apollo Munich Health Insurance for  ₹1,336 crore",https://pocket-image-cache.com/direct?url=http://images.livemint.com/img/2019/06/20/600x338/77404d58-9365-11e9-932b-3578ec0f3acf_1561054370768_1561054688426.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/Livemint.png', 'name': 'Livemint'}","[{'sid': 'APLH', 'initialPrice': 1374.3}, {'sid': 'HDBK', 'initialPrice': 2426.35}, {'sid': 'HDFC', 'initialPrice': 2199.25}]",['5d0c5d7e0caae2014e3ed06a']
2019-06-24,"Apollo Hospitals plans to reduce debt to Rs 2,500 crore by FY20-end",news-article,https://www.business-standard.com/article/companies/apollo-hospitals-plans-to-reduce-debt-to-rs-2-500-crore-by-fy20-end-119062300762_1.html,"Apollo promoters would use the money from the stake sale to reduce their pledged shares to around 35-40 per cent, said a senior official from the company.",https://pocket-image-cache.com/direct?url=http://bsmedia.business-standard.com/_media/bs/img/article/2019-06/23/full/1561308520-5896.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'name': 'Business Standard'}","[{'sid': 'APLH', 'initialPrice': 1348.25}]",['5d1051df91af10728fe78b92']
2019-06-29,"Budget trades: Don’t go deep, stick with the leaders, says CK Narayan",news-article,https://economictimes.indiatimes.com/markets/expert-view/budget-trades-dont-go-deep-stick-with-the-leaders-says-ck-narayan/articleshow/70000790.cms,"
Go for a very safe bet like SBI and Apollo Hospitals which has come off lows after a big correction.","https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-70000807,width-1070,height-580,imgsize-142909,overlay-etmarkets/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'name': 'Economic Times'}","[{'sid': 'APLH', 'initialPrice': 1312.45}, {'sid': 'SBI', 'initialPrice': 362.15}]",['5d175a60bf097a77318965db']
2019-07-15,Reckitt Benckiser and Apollo Hospitals tie up to launch ‘Arogya Rakshak’,news-article,https://www.thehindubusinessline.com/companies/reckitt-benckiser-and-apollo-hospitals-tie-up-to-launch-arogya-rakshak/article28447511.ece,"Consumer health care and hygiene company Reckitt Benckiser (RB) on Monday announced its partnership with the Apollo Hospitals Group for the launch of ‘Arogya Rakshak’, a social healthcare programme fo",https://www.thehindubusinessline.com/companies/x2mpvn/article28447510.ece/ALTERNATES/LANDSCAPE_615/BL16STATESPRATHAPREDDY,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1363.25}]",['5d2cb823cf7aa741aed756b3']
2019-07-16,"Top trading ideas by Anand Rathi: Buy GSPL, Apollo Hospitals",news-article,https://www.business-standard.com/article/markets/top-trading-ideas-by-anand-rathi-buy-gspl-apollo-hospitals-119071600129_1.html,"Top trading ideas by Jay Anand Thakkar ,CMT -Assistant Vice President - Equity Research, Anand Rathi Shares and Stock Brokers",https://pocket-image-cache.com/direct?url=http://bsmedia.business-standard.com/_media/bs/img/article/2019-02/17/full/1550417159-2471.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'name': 'Business Standard'}","[{'sid': 'APLH', 'initialPrice': 1385.7}]",['5d2d534534c4d0570f64d3cb']
2019-07-17,"Apollo Hospitals Family Mulls Stake, Asset Sales to Cut Debt | Apollo Hospitals Enterprise's promoter pledging likely to hit 75%",news-article | news-article,https://www.bloombergquint.com/business/apollo-hospitals-family-seeks-investor-asset-sales-to-cut-debt | https://www.business-standard.com/article/companies/apollo-hospitals-enterprise-s-promoter-pledging-likely-to-hit-75-119071601609_1.html,"Reddy family wants to pare the pledged shareholding in Apollo. | Earlier, almost 74 per cent of the promoter shares were pledged to unwind a deal with private equity player KKR, raising concerns in the market.",https://pocket-image-cache.com/direct?url=http://images.assettype.com/bloombergquint%2F2019-07%2Fd853e43f-09a0-4467-80b0-453e84542efe%2F332629153.jpg?rect=0%2C568%2C3998%2C2099&w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://www.smallcase.com/images/newslogos/BloombergQuint.png', 'name': 'Bloomberg Quint'} | {'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'name': 'Business Standard'}","[{'sid': 'APLH', 'initialPrice': 1390.2}] | [{'sid': 'APLH', 'initialPrice': 1390.2}]","['5d2ecec243600f07e6fe2432', '5d2ea494387db564d466609d']"
2019-07-19,Apollo Hospitals promoters hunt for partner to release pledged shares,news-article,https://www.business-standard.com/article/companies/apollo-hospitals-promoters-hunt-for-partner-to-release-pledged-shares-119071901478_1.html,"The primary aim is to bring down our pledge over next one year, Suneeta Reddy, managing director of Apollo Hospitals Group said",https://pocket-image-cache.com/direct?url=http://bsmedia.business-standard.com/_media/bs/img/article/2019-06/23/full/1561308520-5896.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'name': 'Business Standard'}","[{'sid': 'APLH', 'initialPrice': 1388.05}]",['5d31fe238225ee5b443fa128']
2019-07-22,"Apollo Hospitals' arm HNG, AAPI ink MoU for virtual consultation",news-article,https://www.thehindubusinessline.com/news/apollo-hospitals-arm-hng-aapi-ink-mou-for-virtual-consultation/article28640856.ece,"HealthNet Global Ltd (HNG), an arm of Apollo Hospitals, has entered into a Memorandum of Understanding (MoU) with the American Association of Physicians of Indian Origin (AAPI) for virtual second opti",https://www.thehindubusinessline.com/static/theme/default/base/img/og-image.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1373.45}]",['5d35ac88dceee67532398154']
2019-08-01,Sangita Reddy to step down as independent director: Strides Pharma | Microsoft ties up with Apollo Hospitals to combat Cardiovascular diseases | Microsoft partners Apollo Hospitals to fight cardiovascular diseases,news-article | news-article | news-article,https://www.thehindubusinessline.com/companies/sangita-reddy-to-step-down-as-independent-director-strides-pharma/article28786114.ece | https://www.livemint.com/companies/news/microsoft-ties-up-with-apollo-hospitals-to-combat-cardiovascular-diseases-1564646174136.html | https://www.thehindubusinessline.com/info-tech/microsoft-partners-apollo-hospitals-to-fight-cardiovascular-diseases/article28781636.ece,"Drug firm Strides Pharma Science said Sangita Reddy will step down as the independent director of the company.Reddy is the joint managing director of the healthcare major Apollo Hospitals Group. “In v | Microsoft and Apollo Hospitals have set up a National Clinical Coordination Committee (NCCC).'NCCC will help us immensely in our fight against the rising tsunami of Non-Communicable Diseases,' said Sangita Reddy, Joint Managing Director, Apollo Hospitals Group | They look to use AI to develope clinical algorithms and treatment guidelines",https://www.thehindubusinessline.com/companies/wltxq9/article28786196.ece/ALTERNATES/LANDSCAPE_615/Sangita-Reddyjpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'} | {'logo': 'https://www.smallcase.com/images/newslogos/Livemint.png', 'name': 'Livemint'} | {'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1351.6}, {'sid': 'SRID', 'initialPrice': 385.45}] | [{'sid': 'APLH', 'initialPrice': 1351.6}] | [{'sid': 'APLH', 'initialPrice': 1351.6}]","['5d4321b9c51df57257c7c248', '5d42db9d06ea185866389890', '5d42958a6007b427505240b4']"
2019-09-06,Apollo Hospitals to conduct two global healthcare conferences in Hyderabad,news-article,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/apollo-hospitals-to-conduct-two-global-healthcare-conferences-in-hyderabad/articleshow/71015497.cms,"Over 2,500 representatives from the medical and technology sectors, public policy makers and government officials are expected to attend the twin conferences to make healthcare safer and better.","https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-71015498,width-1070,height-580,imgsize-17467,overlay-economictimes/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'name': 'Economic Times'}","[{'sid': 'APLH', 'initialPrice': 1497}]",['5d729810302c6878f3530b4e']
2019-09-12,"The promoter family of Apollo Hospitals on Thursday said it has divested 3.6 percent stake in Apollo Hospitals Enterprise Limited (AHEL) through a bulk deal in order to bring down the overall debt | Stocks to watch: SBI Life, Apollo Hospitals, Alkem Labs, Titan, Srei Infra | Apollo Hospitals promoter group will issue 50 lakh shares to reduce stake",news-article | news-article | news-article,https://www.firstpost.com/business/apollo-hospitals-promoter-family-divests-3-6-stake-in-healthcare-major-to-pare-debt-7329971.html | https://www.business-standard.com/article/markets/stocks-to-watch-sbi-life-apollo-hospitals-alkem-labs-titan-srei-infra-119091200233_1.html | https://www.business-standard.com/article/companies/apollo-hospitals-promoter-group-will-issue-50-lakh-shares-to-reduce-stake-119091101267_1.html,The promoter family of Apollo Hospitals on Thursday said it has divested 3.6 percent stake in Apollo Hospitals Enterprise Limited (AHEL) through a bulk deal in order to bring down the overall debt | Here's a list of counters that may hog the limelight today - | A combination of foreign and domestic institutional investors are expected to participate,https://pocket-image-cache.com/direct?url=http://images.firstpost.com/wp-content/uploads/large_file_plugin/2019/07/1562833216_stocktrader-Reuters_social.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/Firstpost.png', 'name': 'Firstpost'} | {'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'name': 'Business Standard'} | {'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'name': 'Business Standard'}","[{'sid': 'APLH', 'initialPrice': 1497.2}] | [{'sid': 'ALKE', 'initialPrice': 1847.65}, {'sid': 'APLH', 'initialPrice': 1497.2}, {'sid': 'SBI', 'initialPrice': 285.25}, {'sid': 'SREI', 'initialPrice': 13.2}, {'sid': 'TITN', 'initialPrice': 1101.05}, {'sid': 'SBIL', 'initialPrice': 799.65}] | [{'sid': 'APLH', 'initialPrice': 1497.2}]","['5d7a3aaa87fe4f0220cc9a0e', '5d79c9fc87a01730776115c7', '5d79c9d687a017307761157d']"
2019-09-16,Apollo Hospitals to seek shareholders' nod for hiving off pharmacy biz,news-article,https://www.business-standard.com/article/companies/apollo-hospitals-to-seek-shareholders-nod-for-hiving-off-pharmacy-biz-119091600599_1.html,"Front end of the business to go to a separate firm, which will focus on achieving Rs 10,000 cr revenue and 30% ROCE within 5 years",https://pocket-image-cache.com/direct?url=http://bsmedia.business-standard.com/_media/bs/img/article/2019-09/01/full/1567279318-0869.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'name': 'Business Standard'}","[{'sid': 'APLH', 'initialPrice': 1458.15}]",['5d7f80e8ab0306473fb05fcc']
2019-09-17,Apollo Hospitals launches proactive health management program 'Apollo ProHealth',news-article,https://www.thehindubusinessline.com/companies/apollo-hospitals-launches-proactive-health-management-program-apollo-prohealth/article29438570.ece,"Healthcare major Apollo Hospitals Group today announced the launch of &#39;Apollo ProHealth&#39; , a proactive health management program powered by artificial intelligencepersonalised Health Risk Asse",https://www.thehindubusinessline.com/companies/vb63v3/article25704676.ece/ALTERNATES/LANDSCAPE_615/apollo-hospitals,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1435.85}]",['5d80d1edb50f8147dd886436']
2019-09-19,Apollo Hospitals in pact with US firm to launch healthcare drones,news-article,https://www.thehindubusinessline.com/companies/apollo-hospitals-in-pact-with-us-firm-to-launch-healthcare-drones/article29460684.ece,"Apollo Hospitals Group has tied up with US-based Zipline to launch Drone healthcare delivery solutions. The Hospital will explore and leverage drone technology to deliver emergency aids and organs, ac",https://www.thehindubusinessline.com/news/national/c3di6e/article26314618.ece/ALTERNATES/LANDSCAPE_615/bl20businesshandshakeicon,"{'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1433.9}]",['5d83bb6c8b1a575b751d3eb9']
2019-09-21,Former TDP MP Sivaprasad dies at 68,news-article,https://www.thehindu.com/news/national/andhra-pradesh/former-tdp-mp-sivaprasad-passes-away-at-68/article29476823.ece,He was under treatment in Apollo hospitals in Chennai when he died,https://www.thehindu.com/news/national/k1c9hj/article24497616.ece/ALTERNATES/LANDSCAPE_615/24THSIVAPRASADTDP,"{'logo': 'https://www.smallcase.com/images/newslogos/TheHindu.png', 'name': 'The Hindu'}","[{'sid': 'APLH', 'initialPrice': 1412.7}]",['5d865e440f176c10b9f2836d']
2019-09-23,"CCI approves restructuring, sale of Apollo Hospitals' pharmacy business | CCI gives green signal to rejig Apollo Hospitals’ pharma biz",news-article | news-article,https://www.livemint.com/companies/news/cci-approves-restructuring-sale-of-apollo-hospitals-pharmacy-business-1569248147495.html | https://www.thehindubusinessline.com/companies/apollo-hospitals-pharma-biz-rejig-gets-cci-clearance/article29491671.ece,"In November, Apollo Hospitals had announced the restructuring and sale of its pharmacy operations.The restructuring would help Apollo Hospitals reduce its net debt | The Competition Commission of India (CCI) has approved the restructuring of pharmacy business of Apollo Hospitals Enterprise Ltd (AHEL) and its subsequent acquisition by Enam Securities Private Ltd, J",https://pocket-image-cache.com/direct?url=http://images.livemint.com/img/2019/09/23/600x338/apollo-k9TD--621x414@LiveMint_1569248205600.JPG,"{'logo': 'https://www.smallcase.com/images/newslogos/Livemint.png', 'name': 'Livemint'} | {'logo': 'https://www.smallcase.com/images/newslogos/HinduBusinessLine.png', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH', 'initialPrice': 1469.35}] | [{'sid': 'APLH', 'initialPrice': 1469.35}]","['5d8901595a01e747189ff42a', '5d8901555a01e747189ff420']"
2019-09-24,"Apollo Hospitals gets CCI nod for sale, restructuring of pharmacy biz",news-article,https://www.indiainfoline.com/article/news-top-story/apollo-hospitals-gets-cci-nod-for-sale-restructuring-of-pharmacy-biz-119092400258_1.html,"The CCI approved the sale of Apollo Hospitals Enterprise Ltd's pharmacy unit to Enam Securities Pvt Ltd, Jhelum Investment Fund, and Hemendra Kothari.",https://pocket-image-cache.com/direct?url=http://content.indiainfoline.com/_media/iifl/img/misc/2015-03/12/full/apollo-hospital-1426140305-1868300.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HuffingtonPost.png', 'name': 'India Infoline'}","[{'sid': 'APLH', 'initialPrice': 1470.5}]",['5d899c3dfc85e7772349439a']
2019-09-25,Apollo Hospitals eyes smaller acquisitions of up to Rs 300 crore,news-article,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/apollo-hospitals-eyes-smaller-acquisitions-of-up-to-rs-300-crore/articleshow/71297377.cms,"The company also hinted at going slow on investments from here, saying extracting benefits from past bets will be the focus now through margin expansion.","https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-71297446,width-1070,height-580,imgsize-700909,overlay-economictimes/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'name': 'Economic Times'}","[{'sid': 'APLH', 'initialPrice': 1453.1}]",['5d8ba4dd0c5f633506e70a8d']
