title,feed_type,link,description,date,image,publisher,stocks,_id
Apollo Hospitals Q1 consolidated net slides 47%,news-article,https://www.thehindu.com/business/apollo-hospitals-q1-consolidated-net-slides-47/article67183910.ece,"Healthcare Services posted a net profit of ₹264 crore, while AHLL and Healthco posted a net loss of ₹15 crore and ₹83 crore respectively.",2023-08-11 20:07:05.000,https://pocket-image-cache.com/direct?url=http://th-i.thgim.com/public/incoming/kht6kh/article67184891.ece/alternates/LANDSCAPE_1200/BUACY_5-3-2010_18-44-39_APOLLO_HOSPITAL6.JPG,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindu.png', 'id': 'www.thehindu.com', 'name': 'The Hindu'}",[{'sid': 'APLH'}],64d64df00f3b02976e9db134
"Apollo Hospitals Q1 net profit drops 47%, revenue up 16.4%",news-article,https://www.businesstoday.in/latest/corporate/story/apollo-hospitals-q1-net-profit-drops-47-revenue-up-164-393796-2023-08-11?utm_source=rssfeed,"Total expenses surged 18 per cent YoY to Rs 4,181.9 crore, compared to Rs 3,545 crore in the year-ago quarter of last fiscal, which dragged down the profits.",2023-08-11 17:30:00.000,https://pocket-image-cache.com/direct?url=http://akm-img-a-in.tosshub.com/businesstoday/images/story/202308/1_-_2023-08-11t152134-sixteen_nine.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/businesstoday.png', 'id': 'www.businesstoday.in', 'name': 'Business Today'}",[{'sid': 'APLH'}],64d607ff0f3b02976e9dae39
Apollo Hospitals Q1 Net Profit Dips 47% to Rs 167 Crore - News18,news-article,https://www.news18.com/business/apollo-hospitals-q1-net-profit-dips-47-to-rs-167-crore-8532412.html,"Apollo Hospitals’ revenue grows 16 per cent to Rs 4,418 crore in the first quarter ended June 30 as against Rs 37,96 crore in the same period a year ago",2023-08-11 15:16:30.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/08/apollo-hospital-169174700616x9.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}",[{'sid': 'APLH'}],64d608fa0f3b02976e9dae46
Apollo Hospitals Q1 Preview: Losses from Apollo HealthCo to drag earnings,news-article,https://www.moneycontrol.com/news/business/earnings/apollo-hospitals-q1-preview-losses-from-apollo-healthco-to-drag-earnings-11144071.html,"While losses in the company’s Apollo HealthCo arm are likely to moderate sequentially, they will still remain elevated on the year-on-year basis.",2023-08-10 14:52:53.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2022/05/Apollo-Hospitals-770x433.png,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'APLH'}],64d4af0ba5cfe86dc38a3c05
"Taking Stock: Last-hour buying pushes Nifty above 19,600, Sensex up 149 points",news-article,https://www.moneycontrol.com/news/business/markets/taking-stock-last-hour-buying-pushes-nifty-above-19600-sensex-up-149-points-11134921.html,"Top gainers on the Nifty included Dr Reddy’s Laboratories, Hindalco Industries, JSW Steel, Tata Motors and M&M, while losers included Divis Labs, Apollo Hospitals, Maruti Suzuki, ICICI Bank and Bajaj Finance",2023-08-09 15:46:30.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/08/WhatsApp-Image-2023-06-05-at-5.44.33-PM-770x433.jpeg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'APLH'}, {'sid': 'BJFN'}, {'sid': 'REDY'}, {'sid': 'DIVI'}, {'sid': 'HALC'}, {'sid': 'IDTI'}, {'sid': 'ICBK'}, {'sid': 'JSTL'}, {'sid': 'MAHM'}, {'sid': 'MIRA'}, {'sid': 'MRTI'}, {'sid': 'TAMdv'}, {'sid': 'TAMO'}, {'sid': '.NSEI'}]",64d36b95a5cfe86dc38a3429
"Taking Stock: Market bounces back; Nifty above 19,750; Sensex up 367 points",news-article,https://www.moneycontrol.com/news/business/stocks/taking-stock-market-bounces-back-nifty-above-19750-sensex-up-367-points-11067001.html,"The biggest gainers on the Nifty were NTPC, Power Grid Corporation, Adani Ports, ONGC and Hindalco Industries, while Apollo Hospitals, Britannia Industries, HDFC Life, Divis Labs and Bajaj Finance were the top losers",2023-07-31 15:59:24.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/07/Sensex_Nifty-9-770x433.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'APSE'}, {'sid': 'APLH'}, {'sid': 'BJFN'}, {'sid': 'BRIT'}, {'sid': 'DIVI'}, {'sid': 'HALC'}, {'sid': 'IDTI'}, {'sid': 'MIRA'}, {'sid': 'ONGC'}, {'sid': 'NTPC'}, {'sid': 'PGRD'}, {'sid': '.NSEI'}]",64c795177a206429c6a9a739
Millet Marvels to set up whole-millets processing facility,news-article,https://www.thehindubusinessline.com/economy/agri-business/millet-marvels-to-set-up-whole-millets-processing-facility/article67123698.ece,"Millet Marvels, a millet food start-up, is investing ₹15 crore to set up a processing facility near Hyderabad. The facility will conform to USDA and BRC standards and help the company expand its services to other Apollo hospitals. The start-up runs millet food outlets and will open two restaurants a…",2023-07-26 20:17:14.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/info-tech/9xo5w2/article67123766.ece/alternates/LANDSCAPE_1200/milletmarvel.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'APLH'}],64c137b7042faa63cb2a18e1
Apollo set to expand its transplant programme,news-article,https://economictimes.indiatimes.com/industry/healthcare/biotech/healthcare/apollo-set-to-expand-its-transplant-programme/articleshow/102061372.cms,"Apollo Hospitals plans to have a transplant programme in all its locations along with collaborations with hospitals outside its network, as it sees rising demand from within India and overseas.",2023-07-23 23:44:00.000,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-102061390,width-1070,height-580,imgsize-23336,overlay-economictimes/photo.jpg","{'logo': 'https://assets.tickertape.in/images/news-publishers/economictimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}",[{'sid': 'APLH'}],64bd7c6c042faa63cb29fe42
"Apollo transplant program achieves 23,000 milestone",news-article,https://www.thehindubusinessline.com/news/apollo-transplant-program-achieves-23000-milestone/article67105544.ece,"Apollo Hospitals Group completes 23,000 transplants since 2012, reaching 1,641 in 2022. 30% of these were for international patients from over 50 countries. Apollo performs 12% of all transplants in India and 1% of global transplant procedures.",2023-07-22 13:31:46.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/incoming/inat1f/article66924639.ece/alternates/LANDSCAPE_1200/Apollo%20Hospitals.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'APLH'}],64bb8fc79003ca397ae7fe53
Lacklustre Asian cues keep D-Street bulls in sombre mood,news-article,https://economictimes.indiatimes.com/markets/stocks/news/lacklustre-asian-cues-keep-d-street-bulls-in-sombre-mood/articleshow/101813100.cms,"Shares of Adani Enterprises rallied around 3% after the Maharashtra government gave its nod to Dharavi Redevelopment Project to Adani Group. Adani Ports, Apollo Hospitals and Dr Reddy’s Lab were among the top gainers in Nifty while losses in ONGC, TCS, and HDFC Bank limited the downside.",2023-07-17 09:53:00.000,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-101813188,width-1070,height-580,imgsize-60854,overlay-etmarkets/photo.jpg","{'logo': 'https://assets.tickertape.in/images/news-publishers/economictimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}","[{'sid': 'APSE'}, {'sid': 'ADEL'}, {'sid': 'APLH'}, {'sid': 'IDTI'}, {'sid': 'HDBK'}, {'sid': 'MIRA'}, {'sid': 'ONGC'}, {'sid': 'TCS'}, {'sid': '.NSEI'}]",64b4c7b29003ca397ae7d21d
Apollo Hospitals plan to add two more proton cancer centres in India,news-article,https://www.thehindubusinessline.com/news/apollo-hospitals-plan-to-add-two-more-proton-cancer-centres-in-india/article67057403.ece,Proton beam therapy has emerged as a highly effective and precise radiation treatment for various types of cancers,2023-07-08 19:10:39.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/news/n9ho6w/article67057436.ece/alternates/LANDSCAPE_1200/Mr%20Dinesh%20Madhavan.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}",[{'sid': 'APLH'}],64a96828c7230d0b05dd63d4
"Nifty hits new highs, Sensex gains 340 points; M&M, Apollo Hospitals surge up to 5%",news-article,https://www.businesstoday.in/markets/market-commentary/story/nifty-hits-new-highs-sensex-gains-340-points-mm-apollo-hospitals-surge-up-to-5-388524-2023-07-06?utm_source=rssfeed,"BSE’s barometer Sensex gained 339.60 points, or 0.52 per cent, to 65,785.64, while NSE’s Nifty50 added 98.80 points, or 0.51 per cent, to settle at 19,497.30 for the day.",2023-07-06 17:30:00.000,https://pocket-image-cache.com/direct?url=http://akm-img-a-in.tosshub.com/businesstoday/images/story/202307/undeterred_dala147-sixteen_nine.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/businesstoday.png', 'id': 'www.businesstoday.in', 'name': 'Business Today'}","[{'sid': 'APLH'}, {'sid': 'BSEL'}, {'sid': 'IDTI'}, {'sid': 'MAHM'}, {'sid': 'MIRA'}, {'sid': '.NSEI'}]",64a6a486c7230d0b05dd548c
"Sensex, Nifty Live updates: Market rally continues: Nifty surges to 19,500, sets new record",news-article,https://www.thehindubusinessline.com/markets/market-live-updates/article67046515.ece,"BSE Sensex and NSE Nifty touched life-time highs on Thursday. While BPCL, Apollo Hospitals, Britannia Industries, Power Grid Corporation, Reliance Industires were the major gainers, Eicher Motors, IndusInd Bank and Divi’s Laboratories were the top losers on Nifty50. Nifty sectoral indices such as Ni…",2023-07-06 16:26:50.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/incoming/smk316/article67046510.ece/alternates/LANDSCAPE_1200/Stock%20Market5.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH'}, {'sid': 'BRIT'}, {'sid': 'BSEL'}, {'sid': 'BPCL'}, {'sid': 'EICH'}, {'sid': 'IDTI'}, {'sid': 'INBK'}, {'sid': 'MIRA'}, {'sid': 'PGRD'}, {'sid': '.NSEI'}]",64a63887c7230d0b05dd505c
"Sensex, Nifty Live updates: Indices end flat; market capitalisation of Indian cos crosses ₹300 lakh crore for the first time",news-article,https://www.thehindubusinessline.com/news/market-live-updates/article67042667.ece,The top gainers on the NSE at 12:05 pm are ​Bajaj Auto ​(3.17%); ​Divi’s Laboratories ​(2.62%); ​ITC ​(2.55%) ​HDFC Life Insurance ​(2.53%); and ​Hero Motocorp ​(2.38%). The top losers are ​HDFC​; ​HDFC Bank​; ​Tata Consumer Product​; ​Eicher Motors​; and ​Apollo Hospitals​.The ₹405-crore initial pu…,2023-07-05 16:33:05.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/incoming/gn72re/article67042664.ece/alternates/LANDSCAPE_1200/stock%20market3.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH'}, {'sid': 'BAJA'}, {'sid': 'EICH'}, {'sid': 'IDTI'}, {'sid': 'HDBK'}, {'sid': 'HDFL'}, {'sid': 'HROM'}, {'sid': 'ITC'}, {'sid': 'MIRA'}, {'sid': 'TACN'}, {'sid': '.NSEI'}]",64a4dfbcc7230d0b05dd4692
"Taking Stock: Market on new highs; Sensex jumps 803 points, Nifty hits 19,200",news-article,https://www.moneycontrol.com/news/business/markets/taking-stock-market-on-new-highs-sensex-jumps-803-points-nifty-closes-in-on-19200-10883331.html,"The biggest Nifty gainers of the day were M&M, Infosys, IndusInd Bank, Hero MotoCorp and Sun Pharma. The losers included Adani Ports, Divis Laboratories, Adani Enterprises, Apollo Hospitals and Bajaj Auto.",2023-06-30 15:57:08.000,https://pocket-image-cache.com/direct?url=http://images.moneycontrol.com/static-mcnews/2023/06/stcoks_Nifty_sensex-1-770x433.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'APSE'}, {'sid': 'ADEL'}, {'sid': 'APLH'}, {'sid': 'BAJA'}, {'sid': 'DIVI'}, {'sid': 'IDTI'}, {'sid': 'HROM'}, {'sid': 'INFY'}, {'sid': 'INBK'}, {'sid': 'MAHM'}, {'sid': 'MIRA'}, {'sid': 'SUN'}, {'sid': '.NSEI'}]",649eb42ebfc6db37a3435091
Ram Charan Baby: Hospital Lights Up In Pink To Celebrate Birth Of ‘Mega Princess’,news-article,https://www.freepressjournal.in/entertainment/ram-charan-baby-hospital-lights-up-in-pink-to-celebrate-birth-of-mega-princess,"Ram Charan’s wife Upasana is the daughter of Shobana Kamineni, executive vice-chairperson of Apollo Hospitals.",2023-06-21 13:47:52.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/freepressjournal/2023-06/b838fecb-4c13-4552-a987-8160c66d6ad5/cats.jpg?rect=0%2C0%2C3900%2C2048&w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thefreepressjournal.png', 'id': 'www.freepressjournal.in', 'name': 'Free Press Journal'}",[{'sid': 'APLH'}],6492b2c5fd2c6300d1fd4078
ChatGPT for Doctors: How New AI Tool Can Manage Massive Medical Data and Assist in Diagnosis - News18,news-article,https://www.news18.com/india/chatgpt-for-doctors-how-new-ai-tool-can-manage-massive-medical-data-and-assist-in-diagnosis-8121535.html,"The government is planning to use the data from Apollo Hospitals, All India Institute of Medical Sciences, New Delhi, and Tata Memorial Hospital in Mumbai in the initial attempt",2023-06-20 10:05:14.000,https://pocket-image-cache.com/direct?url=http://images.news18.com/ibnlive/uploads/2023/06/hospital-168708822516x9.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/news18.png', 'id': 'www.news18.com', 'name': 'News18'}",[{'sid': 'APLH'}],64912af5fd2c6300d1fd3459
"Technical Analysis: Apollo Hospitals, AU Small Finance Bank, and Balkrishna Industries",news-article,https://www.thehindubusinessline.com/portfolio/technical-analysis/technical-analysis-apollo-au-balkrishna/article66977448.ece,"Apollo Hospitals Enterprise’s stock is expected to appreciate from ₹5,206 to ₹5,800, with stop-loss levels and exit points suggested. AU Small Finance Bank’s stock is showing signs of an uptrend, with a price target of ₹860 and recommended entry, stop-loss, and exit points. Balkrishna Industries i…",2023-06-17 19:39:27.000,https://pocket-image-cache.com/direct?url=http://bl-i.thgim.com/public/news/fffo49/article66069767.ece/alternates/LANDSCAPE_1200/stock%20market%2002136.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/thehindubusinessline.png', 'id': 'www.thehindubusinessline.com', 'name': 'The Hindu Businessline'}","[{'sid': 'APLH'}, {'sid': 'AUFI'}, {'sid': 'BLKI'}]",648dc602f46d6117acce745c
"IndusInd Bank, Apollo Hospitals, Divis Labs: How should you trade these stocks?",news-article,https://www.businesstoday.in/markets/company-stock/story/indusind-bank-apollo-hospitals-divis-labs-how-should-you-trade-these-stocks-385845-2023-06-16?utm_source=rssfeed,"Divis Labs shares are showing potential signs of bottoming out. One can buy the stock for a potential target of Rs 3,900 with a stop loss placed at Rs 3,425.",2023-06-16 17:30:00.000,https://pocket-image-cache.com/direct?url=http://akm-img-a-in.tosshub.com/businesstoday/images/story/202306/pexels-pixabay-210607-cropped-scaled_1-sixteen_nine.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/businesstoday.png', 'id': 'www.businesstoday.in', 'name': 'Business Today'}","[{'sid': 'APLH'}, {'sid': 'DIVI'}, {'sid': 'INBK'}]",648bcee8f46d6117acce6855
"Stocks In Focus: Apollo Hospitals, Divi’s Lab, Asian Paints, Bajaj Auto & More",news-article,https://www.bqprime.com/bq-prime-videos/stocks-in-focus-apollo-hospitals-divi-s-lab-asian-paints-bajaj-auto-more,"Stocks In Focus: Apollo Hospitals, Divi’s Lab, Asian Paints, Bajaj Auto & More #StocksInFocus | ValueX Wealth’s Lancelot D Cunha shares his insights on the top buzzers in trade. #BQLive #StocksInFocus | ValueX Wealth’s Lancelot D Cunha shares his insights on the top buzzers in trade.",2023-06-15 19:38:33.000,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/bloombergquint%2F2023-06%2F7d43e116-f381-4540-8c5a-2819efa82814%2FU_WpX1aYnjXXiaH6G.?w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': 'https://assets.tickertape.in/images/news-publishers/bloombergquint.png', 'id': 'www.bloombergquint.com', 'name': 'Bloomberg Quint'}","[{'sid': 'APLH'}, {'sid': 'ASPN'}, {'sid': 'BAJA'}]",64783a6114d5d542da5ef9c6
"Sensex, Nifty snap 3-day winning streak; Hero MotoCorp falls 4%; Apollo Hospitals up 4%",news-article,https://www.businesstoday.in/markets/market-commentary/story/sensex-nifty-snap-3-day-winning-streak-hero-motocorp-falls-4-apollo-hospitals-up-4-385762-2023-06-15?utm_source=rssfeed,"BSE Sensex dropped 310.88 points, or 0.49 per cent, to settle at 62,917.63, while NSE’s Nifty50 lost 67.80 points, or 0.36 per cent, to end the day at 18,688.10 for the day.",2023-06-15 17:30:00.000,https://pocket-image-cache.com/direct?url=http://akm-img-a-in.tosshub.com/businesstoday/images/story/202306/csmcsih8_bse-sensex_625x300_19_april_22_0-sixteen_nine.jpg,"{'logo': 'https://assets.tickertape.in/images/news-publishers/businesstoday.png', 'id': 'www.businesstoday.in', 'name': 'Business Today'}","[{'sid': 'APLH'}, {'sid': 'BSEL'}, {'sid': 'IDTI'}, {'sid': 'HROM'}, {'sid': 'MIRA'}, {'sid': '.NSEI'}]",648af4eff46d6117acce633a
"Hot Stocks: Brokerage view on Apollo Hospitals, HEG, Tata Chemicals, Indigo and Dalmia Bharat",news-article,https://economictimes.indiatimes.com/markets/stocks/news/hot-stocks-brokerage-view-on-apollo-hospitals-heg-tata-chemicals-indigo-and-dalmia-bharat/articleshow/101009739.cms,"JPMorgan has started coverage of Apollo Hospitals as overweight, with a target price of INR 5,950 ($80). The bank has started coverage of Fortis Healthcare as overweight, with a INR 355 target. Morgan Stanley downgraded Tata Chemicals to equal-weight, downgraded its target price to INR 916 and maint…",2023-06-15 10:58:00.000,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-101010011,width-1070,height-580,imgsize-45264,overlay-etmarkets/photo.jpg","{'logo': 'https://assets.tickertape.in/images/news-publishers/economictimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}","[{'sid': 'APLH'}, {'sid': 'DALB'}, {'sid': 'FOHE'}, {'sid': 'HEGL'}, {'sid': 'INGL'}, {'sid': 'TTCH'}]",648abad8f46d6117acce60d0
